status,aircraft.iataCode,aircraft.icao24,aircraft.icaoCode,aircraft.regNumber,airline.iataCode,airline.icaoCode,arrival.iataCode,arrival.icaoCode,departure.iataCode,departure.icaoCode,flight.iataNumber,flight.icaoNumber,flight.number,geography.altitude,geography.direction,geography.latitude,geography.longitude,speed.horizontal,speed.isGround,speed.vspeed,system.squawk,system.updated
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N29KA,XXF,861.06,184.0,36.1488,-94.1211,192.608,0.0,0.0,,1762533992
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N486AT,XXF,845.82,181.0,36.349,-86.8316,301.876,0.0,0.0,,1762533992
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,PTWUM,XXF,1211.58,73.0,38.5988,-90.6263,416.7,0.0,0.0,,1762533992
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N95084,XXF,1158.24,32.0,37.7273,-94.9451,175.94,0.0,0.0,,1762533992
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,PSVOA,XXF,1196.34,281.0,-20.6759,-45.8928,209.276,0.0,0.0,,1762533992
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,TG30,XXF,1623.06,83.0,38.2777,-104.465,125.936,0.0,0.0,,1762533992
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N8402N,XXF,1569.72,232.0,36.1649,-85.3565,216.684,0.0,0.0,,1762533992
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N381SB,XXF,2065.02,122.0,35.5894,-106.122,275.948,0.0,0.0,,1762533992
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N739PS,XXF,2255.52,24.0,37.1998,-107.858,170.384,0.0,0.0,,1762533992
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N619KG,XXF,1455.42,22.0,35.1432,-86.0057,277.8,0.0,0.0,,1762533992
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N656CG,XXF,1981.2,282.0,32.8414,-112.43,233.352,0.0,0.0,,1762533992
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,SKW3993,XXF,1272.54,241.0,38.4019,-85.7386,425.96,0.0,0.0,4120,1762533992
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,ECOAIR14,XXF,419.1,15.0,14.8217,-16.9624,200.016,0.0,0.0,,1762533992
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,PPSTN,XXF,487.68,28.0,-12.8135,-42.944,211.128,0.0,0.0,,1762533992
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N46288,XXF,1287.78,91.0,41.212,-112.446,116.676,0.0,0.0,,1762533992
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N8314W,XXF,1828.8,215.0,38.8111,-104.72,14.816,0.0,0.0,,1762533992
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,SYS58,XXF,167.64,123.0,52.7987,-2.6651,20.372,0.0,0.0,,1762533992
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N8733X,XXF,1706.88,224.0,34.7822,-106.754,172.236,0.0,0.0,,1762533992
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N67746,XXF,876.3,16.0,34.7312,-85.2465,198.164,0.0,0.0,,1762533992
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N7887N,XXF,1920.24,90.0,35.0446,-106.664,140.752,0.0,0.0,,1762533992
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N7010A,XXF,1310.64,287.0,37.8812,-100.669,255.576,0.0,0.0,,1762533992
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N328MA,XXF,883.92,87.0,37.6677,-97.1372,248.168,0.0,0.0,,1762533992
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,GOONY30,XXF,944.88,167.0,35.1424,-91.6829,357.436,0.0,0.0,,1762533992
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N7446Q,XXF,822.96,271.0,38.6256,-94.5014,212.98,0.0,0.0,,1762533992
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N3055X,XXF,1036.32,282.0,35.1271,-98.046,135.196,0.0,0.0,,1762533992
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N3511F,XXF,2316.48,46.0,32.9284,-96.0031,298.172,0.0,0.0,,1762533992
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,BEZ418,XXF,716.28,39.0,13.9284,-61.1291,275.948,0.0,0.0,,1762533992
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,PUSTN,XXF,1882.14,218.0,-19.9775,-47.3109,155.568,0.0,0.0,,1762533992
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N394TW,XXF,1211.58,227.0,37.4656,-92.927,203.72,0.0,0.0,,1762533992
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N8338X,XXF,975.36,349.0,36.4254,-96.1002,101.86,0.0,0.0,,1762533992
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,GLR2726,XXF,419.1,107.0,46.4881,-84.5302,279.652,0.0,0.0,,1762533992
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N420CC,XXF,876.3,283.0,34.377,-89.3413,335.212,0.0,0.0,,1762533992
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,BLZR282,XXF,1089.66,94.0,27.6373,-97.8864,516.708,0.0,0.0,,1762533992
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N36789,XXF,899.16,358.0,36.2797,-97.7915,209.276,0.0,0.0,,1762533992
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N78WR,XXF,1676.4,38.0,36.7333,-108.233,151.864,0.0,0.0,,1762533992
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,PRINT,XXF,350.52,245.0,-9.7379,-36.6168,144.456,0.0,0.0,,1762533992
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N429KR,XXF,1264.92,211.0,35.2221,-85.131,248.168,0.0,0.0,,1762533992
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,EFC34M,XXF,220.98,28.0,24.8259,55.1824,157.42,0.0,0.0,,1762533992
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N42KA,XXF,1005.84,156.0,34.7689,-92.4287,187.052,0.0,0.0,,1762533992
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,CEL207,XXF,1097.28,311.0,3.8759,8.9024,470.408,0.0,0.0,,1762533992
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,PSCJR,XXF,137.16,41.0,-3.1622,-52.1703,146.308,0.0,0.0,,1762533992
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,IGO619L,XXF,1135.38,311.0,23.2462,85.4063,266.688,0.0,0.0,,1762533992
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,CHX88,XXF,320.04,125.0,49.4958,11.0734,31.484,0.0,0.0,,1762533993
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,SPSMD,XXF,152.4,105.0,52.4272,16.7944,112.972,0.0,0.0,,1762533993
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N567DD,XXF,243.84,267.0,29.161,-81.0671,150.012,0.0,0.0,,1762533993
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,LFA535,XXF,281.94,275.0,28.7474,-81.2598,183.348,0.0,0.0,,1762533993
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N474EP,XXF,457.2,147.0,41.4138,-73.5084,155.568,0.0,0.0,,1762533993
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N79NA,XXF,304.8,298.0,42.3362,-72.5837,196.312,0.0,0.0,,1762533993
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N555GC,XXF,495.3,300.0,41.9571,-71.1043,242.612,0.0,0.0,,1762533993
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N739FY,XXF,182.88,87.0,28.77,-81.259,125.936,0.0,0.0,,1762533993
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N5470K,XXF,274.32,274.0,28.7349,-81.2279,175.94,0.0,0.0,,1762533993
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N370ES,XXF,487.68,359.0,40.828,-96.7507,122.232,0.0,0.0,,1762533993
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,LXJ348,XXF,68.58,268.0,40.9587,-72.2571,211.128,0.0,0.0,,1762533993
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N360FA,XXF,144.78,231.0,40.1453,-75.252,103.712,0.0,0.0,,1762533993
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,PROTX,XXF,525.78,134.0,-23.0161,-40.965,233.352,0.0,0.0,,1762533993
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N812TM,XXF,312.42,151.0,41.7276,-73.7515,118.528,0.0,0.0,,1762533993
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N5324G,XXF,883.92,74.0,32.0359,-102.115,127.788,0.0,0.0,,1762533993
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N3EW,XXF,137.16,66.0,30.2881,-87.7009,229.648,0.0,0.0,,1762533993
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N128MA,XXF,457.2,225.0,42.5671,-71.7272,137.048,0.0,0.0,,1762533993
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,FHDGL,XXF,655.32,26.0,43.5157,3.9018,196.312,0.0,0.0,,1762533993
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N13658,XXF,678.18,138.0,44.9883,-92.8632,168.532,0.0,0.0,,1762533993
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,XAULA,XXF,1767.84,218.0,24.1317,-104.523,81.488,0.0,0.0,,1762533993
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N3965F,XXF,624.84,152.0,41.3482,-94.0269,146.308,0.0,0.0,,1762533993
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,AMF1968,XXF,335.28,59.0,43.3712,-124.365,242.612,0.0,0.0,,1762533993
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N74591,XXF,906.78,193.0,43.467,-96.8213,238.908,0.0,0.0,,1762533993
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N649JC,XXF,754.38,54.0,36.1533,-83.3904,411.144,0.0,0.0,,1762533993
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,UCM123,XXF,807.72,188.0,38.7849,-93.8748,212.98,0.0,0.0,,1762533993
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N6329C,XXF,1508.76,25.0,21.5922,-104.759,222.24,0.0,0.0,,1762533993
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,TG76,XXF,1371.6,268.0,38.2879,-104.479,98.156,0.0,0.0,,1762533993
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,OYO2,XXF,137.16,68.0,48.9623,2.4145,266.688,0.0,0.0,,1762533993
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N236TT,XXF,190.5,146.0,29.186,-81.1047,194.46,0.0,0.0,,1762533993
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N535LN,XXF,403.86,203.0,43.1277,-77.6213,62.968,0.0,0.0,,1762533993
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N47029,XXF,419.1,270.0,33.6266,-111.907,1.852,0.0,0.0,,1762533993
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N69F,XXF,121.92,7.0,40.7357,-74.0161,272.244,0.0,0.0,,1762533993
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N473DS,XXF,868.68,129.0,42.0328,-71.2662,220.388,0.0,0.0,,1762533993
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N263CF,XXF,60.96,229.0,33.0696,-80.2708,111.12,0.0,0.0,,1762533993
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N8922V,XXF,53.34,154.0,27.9843,-82.763,116.676,0.0,0.0,,1762533993
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,CGLDD,XXF,525.78,231.0,44.9531,-75.9704,151.864,0.0,0.0,,1762533993
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N603HH,XXF,274.32,155.0,45.5727,-122.389,153.716,0.0,0.0,,1762533993
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N6125J,XXF,792.48,47.0,43.4158,-96.7895,187.052,0.0,0.0,,1762533993
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,CFWZK,XXF,419.1,174.0,49.9636,-119.379,201.868,0.0,0.0,,1762533993
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N70220,XXF,60.96,126.0,40.8713,-74.2832,18.52,0.0,0.0,,1762533993
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N230DC,XXF,1249.68,359.0,41.5414,-112.062,133.344,0.0,0.0,,1762533993
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,JIA5598,XXF,762.0,176.0,35.3203,-80.9444,290.764,0.0,0.0,,1762533993
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N112DB,XXF,1341.12,205.0,34.7076,-78.4273,274.096,0.0,0.0,,1762533993
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N9425A,XXF,1066.8,358.0,36.5868,-118.046,53.708,0.0,0.0,,1762533993
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N67847,XXF,152.4,302.0,38.5347,-121.469,125.936,0.0,0.0,,1762533993
en-route,A321,88819E,A321,VN-A585,QH,BAV,SGN,VVTS,DAD,VVDN,QH191,BAV191,191,9159.24,181.0,13.4519,108.159,872.292,0.0,0.0,,1762535108
en-route,A321,8881E0,A321,VN-A227,QH,BAV,HAN,VVNB,SGN,VVTS,QH282,BAV282,282,6827.52,21.0,12.0723,107.414,850.068,0.0,0.0,,1762535108
